1,What is the capital of Chile?,5
1,What is the highest mountain in Britain?,5
1,What is the smallest country in the world?,5
1,Alberta is a province of which country?,5
1,How many countries still have the shilling as currency?,5
1,Which is the only vowel not used as the first letter in a US State?,5
1,What is the largest country in the world?,5
1,Where would you find the River Thames?,5
1,What is the hottest continent on Earth?,5
1,What is the longest river in the world?,5
2,What did the Romans call Scotland?,5
2,Who was made Lord Mayor of London In 1397 - 1398 - 1406 And 1419?,5
2,Who was Henry VIIIs last wife?,5
2,Who was the youngest British Prime Minister?,5
2,In which year was Joan of Arc burned at the stake?,5
2,Which nationality was the polar explorer Roald Amundsen?,5
2,Who was the first female Prime Minister of Australia?,5
2,Which English explorer was executed in 1618 - fifteen year after being found guilty of conspiracy against King James I of England and VI of Scotland?,5
2,Which English city was once known as Duroliponte?,5
2,The first successful vaccine was introduced by Edward Jenner in 1796. Which disease did it guard against?,5
3,What are the five colours of the Olympic rings?,4
3,In football - which team has won the Champions League (formerly the European Cup,4
3,How many players are there in a rugby league team?,4
3,Which horse is the only three-time winner of the Grand National?,4
3,Since 1977 - where has snooker's World Championship taken place?,4
3,In tennis - what piece of fruit is found at the top of the men's Wimbledon trophy?,4
3,Who won the FIFA Women's World Cup in 2019?,4
3,In bowling - what is the term given for three consecutive strikes?,4
3,How many world titles has Phil Talyor won in darts?,4
3,In golf - where does the Masters take place?,4
4,Grand Central Terminal; Park Avenue; New York is the world's,5
4,Entomology is the science that studies,5
4,Eritrea; which became the 182nd member of the UN in 1993; is in the continent of,5
4,Garampani sanctuary is located at,5
4,For which of the following disciplines is Nobel Prize awarded?,5
5,Hitler party which came into power in 1933 is known as,5
5,FFC stands for,5
5,Fastest shorthand writer was,5
5,Epsom (England) is the place associated with,5
5,First human heart transplant operation conducted by Dr. Christiaan Barnard on Louis Washkansky; was conducted in,5